"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"CH","2025-03-06","85.3","-1.8","5.97","Cole, Gerrit",681508,543037,,"called_strike",,,,,2,"Called Strike","S","L","R","NYY","MIN","S",,,0,0,2025,"-1.08","0.77","0.17","3.09",,,,1,3,"Top",,,,,,,6.810732162719848,-124.00579782419467,-1.9821948933843516,-12.523977723806528,25.95598945872694,-24.066537693206705,"3.11","1.57",,,,"85.2",1667,"6.4",779046,669224,502671,665862,665828,683011,691176,663757,641355,"54.12",,,,,,,,24,1,"Changeup",0,6,6,0,6,0,6,0,"Infield shade","Standard",218,"0","-0.039",,,,"0.039",,-6,6,0.066,0.9339999999999999,34,29,35,30,2,1,,,,,"2.38","1.08","-1.08",,,,,,
"FF","2025-03-06","94","-1.9","6.07","Cole, Gerrit",686797,543037,"home_run","hit_into_play",,,,,1,"Brooks Lee homers (1) on a fly ball to right field.","S","L","R","NYY","MIN","X",,"fly_ball",3,0,2025,"-0.4","1.39","-0.31","2.79",,,,1,3,"Top",201.15,82.07,,,,,4.989032778674909,-136.65983898078196,-5.823645375503039,-6.094166829264126,31.263790368181716,-13.688205010837548,"3.25","1.64",344,"94.7",28,"93.6",2295,"6.2",779046,669224,502671,665862,665828,683011,691176,663757,641355,"54.29",0.3075,,"2",,0,3,5,23,4,"4-Seam Fastball",0,5,5,0,6,0,6,0,"Infield shade","Standard",209,"-0.031","1.33","71.6","7.4",1.112,"-1.33","94.7",-5,5,0.097,0.903,34,24,35,24,2,1,,,,,"1.2","0.4","-0.4",,13.259174641593152,-13.271131772971314,26.61270381776379,40.1557780073054,30.546169138622908
"KC","2025-03-06","80.5","-1.91","6.07","Cole, Gerrit",686797,543037,,"ball",,,,,13,"Ball","S","L","R","NYY","MIN","B",,,2,0,2025,"0.89","-1.33","-0.5","1.16",,,,1,3,"Top",,,,,,,1.453434072390461,-117.16538856126226,-1.6621483116130193,7.808563988265183,23.89236150424431,-44.19966989389012,"3.25","1.64",,,,"79.8",2677,"6",779046,669224,502671,665862,665828,683011,691176,663757,641355,"54.51",,,,,,,,23,3,"Knuckle Curve",0,5,5,0,5,0,5,0,"Infield shade","Standard",35,"-0.002","0.143",,,,"-0.143",,-5,5,0.099,0.901,34,24,35,24,2,1,,,,,"4.86","-0.89","0.89",,,,,,
"FF","2025-03-06","94.4","-1.93","6.05","Cole, Gerrit",686797,543037,,"ball",,,,,11,"Ball","S","L","R","NYY","MIN","B",,,1,0,2025,"-0.59","1.55","-1.16","3.18",,,,1,3,"Top",,,,,,,3.3299118269615025,-137.30277525419854,-5.200123496626933,-8.218472691412291,31.724113156685753,-11.621987261160475,"3.25","1.64",,,,"94.1",2369,"6.2",779046,669224,502671,665862,665828,683011,691176,663757,641355,"54.29",,,,,,,,23,2,"4-Seam Fastball",0,5,5,0,5,0,5,0,"Infield shade","Standard",209,"-0.001","0.071",,,,"-0.071",,-5,5,0.1,0.9,34,24,35,24,2,1,,,,,"1.02","0.59","-0.59",,,,,,
"FF","2025-03-06","93.6","-1.89","6.02","Cole, Gerrit",686797,543037,,"ball",,,,,13,"Ball","S","L","R","NYY","MIN","B",,,0,0,2025,"-0.76","1.61","-0.48","0.89",,,,1,3,"Top",,,,,,,5.297020225728797,-135.81857103383606,-11.042760945164282,-10.563619820874651,28.650068574027618,-9.998324979721449,"3.25","1.64",,,,"93.7",2298,"6.4",779046,669224,502671,665862,665828,683011,691176,663757,641355,"54.09",,,,,,,,23,1,"4-Seam Fastball",0,5,5,0,5,0,5,0,"Infield shade","Standard",204,"-0.001","0.039",,,,"-0.039",,-5,5,0.101,0.899,34,24,35,24,2,1,,,,,"1","0.76","-0.76",,,,,,
"KC","2025-03-06","79","-1.81","6.2","Cole, Gerrit",666397,543037,"field_out","hit_into_play",,,,,4,"Edouard Julien grounds out, third baseman Oswaldo Cabrera to first baseman Paul Goldschmidt.","S","L","R","NYY","MIN","X",5,"ground_ball",1,0,2025,"0.97","-1.07","-0.42","2.66",,,,0,3,"Top",106.19,156.44,,,,,1.2215818895751585,-115.01680489899618,1.1009076005633356,8.322840896322122,22.094521305662347,-42.086751673967804,"3.23","1.63",32,"100.4",-3,"78.5",2693,"6",779046,669224,502671,665862,665828,683011,691176,663757,641355,"54.5",0.332,,"0",,0,0,2,22,2,"Knuckle Curve",0,5,5,0,5,0,5,0,"Infield shade","Standard",34,"0.008","-0.301","68.6","6.1",0.362,"0.301","100.4",-5,5,0.093,0.907,34,26,35,26,2,1,,,,,"4.73","-0.97","0.97",,-2.190814819888661,27.961360121840535,37.30306124547439,39.10489451234106,19.267791166816327
"KC","2025-03-06","78.2","-1.8","6.19","Cole, Gerrit",666397,543037,,"ball",,,,,13,"Ball","S","L","R","NYY","MIN","B",,,0,0,2025,"0.65","-1.29","-0.01","0.93",,,,0,3,"Top",,,,,,,2.6486129660366675,-113.78992639775213,-2.0152647232015495,5.053177899874737,22.673187662782592,-43.16624774020649,"3.23","1.63",,,,"77.7",2626,"6.2",779046,669224,502671,665862,665828,683011,691176,663757,641355,"54.34",,,,,,,,22,1,"Knuckle Curve",0,5,5,0,5,0,5,0,"Standard","Standard",32,"-0.001","0.041",,,,"-0.041",,-5,5,0.094,0.906,34,26,35,26,2,1,,,,,"5.05","-0.65","0.65",,,,,,
"FF","2025-03-06","96.7","-1.87","6.04","Cole, Gerrit",670242,543037,"home_run","hit_into_play",,,,,5,"Matt Wallner homers (2) on a line drive to right center field. Mickey Gasper scores. DaShawn Keirsey Jr. scores.","S","L","R","NYY","MIN","X",,"line_drive",3,2,2025,"-0.86","1.59","0.17","2.49",,681508,680577,2,2,"Top",169.63,52.47,,,,,7.426799885417472,-140.526650660371,-7.5228982338117545,-13.10399418154687,32.642073494104714,-9.58600786448605,"3.41","1.72",379,"105.5",21,"96.9",2396,"6.5",779046,669224,502671,665862,665828,683011,691176,663757,641355,"53.98",0.6428780487804877,,"2",,0,3,6,15,7,"4-Seam Fastball",0,2,2,0,5,0,5,0,"Standard","Standard",208,"-0.182","1.663","78.0","7.1",2.086951219512195,"-1.663","105.5",-2,2,0.304,0.696,34,27,35,28,2,1,,,,,"0.86","0.86","-0.86",,11.167756567004723,-0.3277045851621522,35.65650525772575,39.62032115387288,35.68916528065808
"KC","2025-03-06","83.6","-1.88","6.16","Cole, Gerrit",670242,543037,,"ball",,,,,12,"Ball","S","L","R","NYY","MIN","B",,,2,2,2025,"0.75","-1.18","0.21","4.04",,681508,680577,2,2,"Top",,,,,,,3.3270066843474853,-121.59377047729163,3.933866019791234,6.680717976502482,26.680849719144376,-44.85641219765572,"3.41","1.72",,,,"82.9",2874,"6.1",779046,669224,502671,665862,665828,683011,691176,663757,641355,"54.35",,,,,,,,15,6,"Knuckle Curve",0,2,2,0,2,0,2,0,"Standard","Standard",39,"-0.006","0.079",,,,"-0.079",,-2,2,0.31,0.69,34,27,35,28,2,1,,,,,"4.47","-0.75","0.75",,,,,,
"CH","2025-03-06","87.4","-1.99","5.96","Cole, Gerrit",670242,543037,,"ball",,,,,11,"Ball","S","L","R","NYY","MIN","B",,,1,2,2025,"-1.35","0.83","-1.84","2.57",,681508,680577,2,2,"Top",,,,,,,3.1462623284299704,-127.36265140598528,-3.7839576675236986,-15.329396278239134,24.781757748633453,-22.585099313186795,"3.41","1.72",,,,"87.9",1722,"6.4",779046,669224,502671,665862,665828,683011,691176,663757,641355,"54.07",,,,,,,,15,5,"Changeup",0,2,2,0,2,0,2,0,"Standard","Standard",226,"-0.006","0.012",,,,"-0.012",,-2,2,0.316,0.6839999999999999,34,27,35,28,2,1,,,,,"2.13","1.35","-1.35",,,,,,
"FF","2025-03-06","97.2","-1.75","5.98","Cole, Gerrit",670242,543037,,"foul",,,,,3,"Foul","S","L","R","NYY","MIN","S",,,1,2,2025,"-1.04","1.49","0.53","2.96",,681508,680577,2,2,"Top",,,,,,,8.469185568266735,-141.20893014067184,-5.959210468332809,-15.882147057132768,32.20587333191097,-11.053792070993586,"3.41","1.72",178,"64.8",48,"96.9",2309,"6.2",779046,669224,502671,665862,665828,683011,691176,663757,641355,"54.26",,,,,,,,15,4,"4-Seam Fastball",0,2,2,0,2,0,2,0,"Standard","Standard",213,"0","0","70.9","5.9",,"0","88.0",-2,2,0.316,0.6839999999999999,34,27,35,28,2,1,,,,,"0.93","1.04","-1.04",,-3.1366481959100017,18.218012248418663,36.415255936573764,34.637667107253364,27.026445472244944
"FF","2025-03-06","96.4","-1.66","5.96","Cole, Gerrit",670242,543037,,"ball",,,,,12,"Ball","S","L","R","NYY","MIN","B",,,0,2,2025,"-0.84","1.46","1.96","2.6",,681508,680577,2,2,"Top",,,,,,,11.586112486402723,-139.79279358074243,-6.657166568940183,-13.74312118157181,32.75603532073967,-11.61797725922003,"3.41","1.72",,,,"96.5",2351,"6.6",779046,669224,502671,665862,665828,683011,691176,663757,641355,"53.9",,,,,,,,15,3,"4-Seam Fastball",0,2,2,0,2,0,2,0,"Standard","Standard",204,"-0.003","0.012",,,,"-0.012",,-2,2,0.319,0.681,34,27,35,28,2,1,,,,,"1.02","0.84","-0.84",,,,,,
"FF","2025-03-06","97.5","-1.92","6.04","Cole, Gerrit",670242,543037,,"called_strike",,,,,6,"Called Strike","S","L","R","NYY","MIN","S",,,0,1,2025,"-0.76","1.58","0.59","2.58",,681508,680577,2,2,"Top",,,,,,,8.439516294496851,-141.56615267181533,-7.307935032024476,-12.266990283478219,35.09040727976889,-9.478189200676585,"3.41","1.72",,,,"96.6",2475,"6.1",779046,669224,502671,665862,665828,683011,691176,663757,641355,"54.42",,,,,,,,15,2,"4-Seam Fastball",0,2,2,0,2,0,2,0,"Standard","Standard",205,"0.007","-0.057",,,,"0.057",,-2,2,0.312,0.688,34,27,35,28,2,1,,,,,"0.85","0.76","-0.76",,,,,,
"SL","2025-03-06","88","-2.15","6.06","Cole, Gerrit",670242,543037,,"foul",,,,,5,"Foul","S","L","R","NYY","MIN","S",,,0,0,2025,"0.5","0.32","-0.27","2.41",,681508,680577,2,2,"Top",,,,,,,3.51339753406344,-128.19651853471376,-3.474932831681377,4.818822166297412,25.189548439733468,-28.096103200732145,"3.41","1.72",125,"73",12,"88.1",2432,"6.2",779046,669224,502671,665862,665828,683011,691176,663757,641355,"54.34",,,,,,,,15,1,"Slider",0,2,2,0,2,0,2,0,"Standard","Standard",161,"0.005","-0.047","75.9","7.1",,"0.047","88.0",-2,2,0.307,0.6930000000000001,34,27,35,28,2,1,,,,,"2.6","-0.5","0.5",,1.958366987016451,7.406501439464007,35.95199031222019,42.57355861643587,28.194732294464586
"FF","2025-03-06","97.6","-2","6.09","Cole, Gerrit",645801,543037,"sac_fly","hit_into_play",,,,,2,"Mike Ford out on a sacrifice fly to left fielder Jasson Domínguez. Brooks Lee scores.","S","L","R","NYY","MIN","X",7,"fly_ball",1,2,2025,"-0.74","1.38","0.11","2.85",686797,681508,680577,1,2,"Top",71.05,100.72,,,,,7.375647362530513,-141.78103724911387,-6.358950169019396,-11.656467698092477,33.59675013057486,-12.264370556273652,"3.19","1.61",281,"85.5",34,"97.3",2433,"6.3",779046,669224,502671,665862,665828,683011,691176,663757,641355,"54.19",0.01,,"0",,0,0,3,14,4,"4-Seam Fastball",0,1,1,0,2,0,2,0,"Standard","Standard",213,"-0.016","-0.073","57.0","5.5",0.024,"0.073","88.0",-1,1,0.323,0.677,34,32,35,33,1,0,,,,,"1.03","0.74","-0.74",,0.18811623079465856,12.755796334938738,31.74417447401743,34.98111598599211,20.13834414488384
"FF","2025-03-06","97.1","-1.83","6.04","Cole, Gerrit",645801,543037,,"foul",,,,,5,"Foul","S","L","R","NYY","MIN","S",,,1,1,2025,"-0.47","1.54","-0.17","2.56",686797,681508,680577,1,2,"Top",,,,,,,5.526565383873164,-141.10626031941328,-7.2510756568816905,-7.582317288207063,34.266466869176774,-10.143829329345099,"3.19","1.61",,,,"96.9",2384,"6.4",779046,669224,502671,665862,665828,683011,691176,663757,641355,"54.09",,,,,,,,14,3,"4-Seam Fastball",0,1,1,0,1,0,1,0,"Standard","Standard",202,"0.014","-0.073","67.6","6.5",,"0.073",,-1,1,0.309,0.6910000000000001,34,32,35,33,1,0,,,,,"0.9","0.47","-0.47",,3.453622882869407,7.625437365935664,32.003176422113555,38.7877719331783,19.555234632252887
"CH","2025-03-06","88","-1.85","6.01","Cole, Gerrit",645801,543037,,"swinging_strike",,,,,4,"Swinging Strike","S","L","R","NYY","MIN","S",,,1,0,2025,"-1.29","0.92","-0.68","2.25",686797,681508,680577,1,2,"Top",,,,,,,5.510353233080498,-128.02641887557505,-4.978254116822028,-15.272028467630033,24.821035739197228,-21.248912933977014,"3.19","1.61",,,,"88.3",1816,"6.4",779046,669224,502671,665862,665828,683011,691176,663757,641355,"54.13",,,,,,,,14,2,"Changeup",0,1,1,0,1,0,1,0,"Standard","Standard",220,"0.011","-0.053","74.2","7.9",,"0.053",,-1,1,0.298,0.702,34,32,35,33,1,0,,,,,"2.01","1.29","-1.29",,23.744290753302547,-29.299931124346806,26.911083924817987,44.51483585417665,46.87958636484356
"CH","2025-03-06","87.1","-1.83","5.88","Cole, Gerrit",645801,543037,,"ball",,,,,14,"Ball","S","L","R","NYY","MIN","B",,,0,0,2025,"-1.2","1","0.42","1.23",686797,681508,680577,1,2,"Top",,,,,,,7.881890868701103,-126.52227276264706,-7.070412599248308,-14.508883532876283,25.33776219299716,-20.177011119527595,"3.19","1.61",,,,"87.3",1818,"6.5",779046,669224,502671,665862,665828,683011,691176,663757,641355,"54.02",,,,,,,,14,1,"Changeup",0,1,1,0,1,0,1,0,"Standard","Standard",225,"-0.008","0.038",,,,"-0.038",,-1,1,0.306,0.694,34,32,35,33,1,0,,,,,"2.01","1.2","-1.2",,,,,,
"CH","2025-03-06","87.8","-1.95","5.97","Cole, Gerrit",680577,543037,"fielders_choice","hit_into_play",,,,,13,"DaShawn Keirsey Jr. reaches on a fielder's choice, fielded by shortstop Anthony Volpe. Mickey Gasper to 2nd.","S","L","R","NYY","MIN","X",6,"ground_ball",0,2,2025,"-1.3","0.99","-0.92","2.1",686797,,681508,1,2,"Top",103.33,150.54,,,,,5.1831391876352635,-127.801741527782,-5.356569411492526,-15.335898913816678,23.75081547420998,-20.426675502506605,"3.23","1.63",115,"53.9",19,"88.4",1904,"6.4",779046,669224,502671,665862,665828,683011,691176,663757,641355,"54.08",0.19,,"0.9",,0,0,1,13,4,"Changeup",0,1,1,0,1,0,1,0,"Standard","Standard",223,"-0.05","0.561","44.5","7.0",0.19,"-0.561","88.0",-1,1,0.356,0.644,34,28,35,28,1,0,,,,,"1.94","1.3","-1.3",,5.048716596476832,5.7988079756957545,35.293140448703376,46.03621391986488,18.886004921150082
"KC","2025-03-06","83.4","-1.84","6.07","Cole, Gerrit",680577,543037,,"foul",,,,,8,"Foul","S","L","R","NYY","MIN","S",,,0,2,2025,"0.73","-1.21","-0.09","1.75",686797,,681508,1,2,"Top",,,,,,,2.5869481301256516,-121.46737628324024,-1.1220936559916999,6.729453422755794,24.36558847902356,-44.13352833666605,"3.23","1.63",4,"65.8",-25,"83.4",2747,"6.3",779046,669224,502671,665862,665828,683011,691176,663757,641355,"54.2",,,,,,,,13,3,"Knuckle Curve",0,1,1,0,1,0,1,0,"Standard","Standard",37,"0","0","70.0","7.7",,"0","88.0",-1,1,0.356,0.644,34,28,35,28,1,0,,,,,"4.49","-0.73","0.73",,18.413855818918886,-1.4102383749054885,35.050775581876586,36.48269645386169,22.666176085459433
"FF","2025-03-06","97.2","-2.01","6","Cole, Gerrit",680577,543037,,"swinging_strike",,,,,11,"Swinging Strike","S","L","R","NYY","MIN","S",,,0,1,2025,"-0.62","1.52","-0.23","3.42",686797,,681508,1,2,"Top",,,,,,,6.208072331465088,-141.36908926214167,-4.811670896917446,-9.736839891768431,34.536029297634904,-10.988600051231098,"3.23","1.63",,,,"97.1",2321,"6.4",779046,669224,502671,665862,665828,683011,691176,663757,641355,"54.09",,,,,,,,13,2,"4-Seam Fastball",0,1,1,0,1,0,1,0,"Standard","Standard",205,"0.013","-0.073","65.5","6.4",,"0.073",,-1,1,0.343,0.657,34,28,35,28,1,0,,,,,"0.91","0.62","-0.62",,2.616681659222439,18.01376501179477,30.678840780255467,38.319668113294526,10.469424775995934
"KC","2025-03-06","81.7","-1.93","6.2","Cole, Gerrit",680577,543037,,"called_strike",,,,,3,"Called Strike","S","L","R","NYY","MIN","S",,,0,0,2025,"1.02","-1.22","0.47","2.81",686797,,681508,1,2,"Top",,,,,,,3.4335564316075753,-118.86484716494503,1.3482615434965077,8.874074014116411,24.705995461781193,-44.21746126551787,"3.23","1.63",,,,"81.3",2749,"6.3",779046,669224,502671,665862,665828,683011,691176,663757,641355,"54.25",,,,,,,,13,1,"Knuckle Curve",0,1,1,0,1,0,1,0,"Standard","Standard",35,"0.009","-0.041",,,,"0.041",,-1,1,0.334,0.6659999999999999,34,28,35,28,1,0,,,,,"4.66","-1.02","1.02",,,,,,
