"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"SI","2025-03-06","93.3","-1.79","6.08","Cole, Gerrit",680577,543037,"field_out","hit_into_play",,,,,2,"DaShawn Keirsey Jr. lines out to left fielder Jasson Domínguez.","S","L","R","NYY","MIN","X",7,"line_drive",2,2,2025,"-1.25","1.19","-0.27","3.19",,,,2,3,"Top",84.52,73.68,,,,,6.659306141599409,-135.62589460392746,-4.2160147225889615,-16.974299463271667,32.466019760919814,-16.799349482898496,"3.23","1.63",328,"98.4",21,"92.5",2258,"6.1",779046,669224,502671,665862,665828,683011,691176,663757,641355,"54.4",0.296,,"0",,0,0,5,25,5,"Sinker",0,6,6,0,6,0,6,0,"Infield shade","Standard",204,"0.003","-0.224",,,0.579,"0.224","98.4",-6,6,0.069,0.931,34,28,35,28,2,1,,,,,"1.46","1.25","-1.25",,,,,,
"KC","2025-03-06","80.9","-1.78","6.06","Cole, Gerrit",680577,543037,,"ball",,,,,14,"Ball","S","L","R","NYY","MIN","B",,,1,2,2025,"0.61","-1.24","0.92","1.37",,,,2,3,"Top",,,,,,,4.838208071197595,-117.52517779910889,-1.2608766985930784,4.430649963328573,27.596450336706365,-43.43468648196884,"3.23","1.63",,,,"79.7",2667,"6.1",779046,669224,502671,665862,665828,683011,691176,663757,641355,"54.43",,,,,,,,25,4,"Knuckle Curve",0,6,6,0,6,0,6,0,"Infield shade","Standard",33,"-0.001","0.042",,,,"-0.042",,-6,6,0.07,0.9299999999999999,34,28,35,28,2,1,,,,,"4.8","-0.61","0.61",,,,,,
"CH","2025-03-06","85.9","-1.74","5.99","Cole, Gerrit",680577,543037,,"foul",,,,,2,"Foul","S","L","R","NYY","MIN","S",,,1,1,2025,"-1.48","0.82","-0.19","3.34",,,,2,3,"Top",,,,,,,6.712108361567838,-124.95616409941213,-1.6679985499416226,-16.913200285702583,26.239489507438872,-23.472928774617927,"3.23","1.63",252,"80.2",46,"85.9",1825,"6.4",779046,669224,502671,665862,665828,683011,691176,663757,641355,"54.09",,,,,,,,25,3,"Changeup",0,6,6,0,6,0,6,0,"Standard","Standard",221,"0.001","-0.062","66.2","5.9",,"0.062","88.0",-6,6,0.069,0.931,34,28,35,28,2,1,,,,,"2.28","1.48","-1.48",,-5.152526256342589,22.426840846675887,26.645942415155744,36.63962185228492,12.135764811920804
"SI","2025-03-06","92.5","-1.83","5.93","Cole, Gerrit",680577,543037,,"foul",,,,,5,"Foul","S","L","R","NYY","MIN","S",,,1,0,2025,"-1.24","1.34","0.02","2.28",,,,2,3,"Top",,,,,,,7.415851179386499,-134.35806108363064,-6.400862936578981,-16.645753918701182,29.58893829796614,-14.682490024210143,"3.23","1.63",218,"72.4",29,"92.3",2163,"6.3",779046,669224,502671,665862,665828,683011,691176,663757,641355,"54.17",,,,,,,,25,2,"Sinker",0,6,6,0,6,0,6,0,"Infield shade","Standard",204,"0","-0.054","70.6","6.9",,"0.054","88.0",-6,6,0.069,0.931,34,28,35,28,2,1,,,,,"1.33","1.24","-1.24",,3.395556201222698,10.469744661986738,42.98006677351474,34.174060165977814,17.915897156913562
"KC","2025-03-06","77.8","-1.88","6.06","Cole, Gerrit",680577,543037,,"ball",,,,,11,"Ball","S","L","R","NYY","MIN","B",,,0,0,2025,"0.6","-1.42","-1.68","3.48",,,,2,3,"Top",,,,,,,-0.6753972546193063,-113.08160157906896,4.125612402386796,5.176657244615425,25.052375661211475,-45.332669444410946,"3.23","1.63",,,,"76.7",2658,"6.1",779046,669224,502671,665862,665828,683011,691176,663757,641355,"54.43",,,,,,,,25,1,"Knuckle Curve",0,6,6,0,6,0,6,0,"Infield shade","Standard",36,"0","0.037",,,,"-0.037",,-6,6,0.069,0.931,34,28,35,28,2,1,,,,,"5.26","-0.6","0.6",,,,,,
"FF","2025-03-06","95.3","-1.86","5.98","Cole, Gerrit",681508,543037,"strikeout","called_strike",,,,,8,"Mickey Gasper called out on strikes.","S","L","R","NYY","MIN","S",2,,3,2,2025,"-0.75","1.6","0.12","1.8",,,,1,3,"Top",,,,,,,6.87829502951685,-138.32045648886307,-8.906908919797274,-11.1614756344462,31.19463399556961,-9.83781890706804,"3.11","1.57",,,,"95.1",2358,"6.3",779046,669224,502671,665862,665828,683011,691176,663757,641355,"54.16",,,"0",,0,0,,24,6,"4-Seam Fastball",0,6,6,0,6,0,6,0,"Infield shade","Standard",205,"0.004","-0.332",,,,"0.332",,-6,6,0.065,0.935,34,29,35,30,2,1,,,,,"0.93","0.75","-0.75",,,,,,
"CH","2025-03-06","86.9","-1.79","5.91","Cole, Gerrit",681508,543037,,"ball",,,,,13,"Ball","S","L","R","NYY","MIN","B",,,2,2,2025,"-1.63","0.85","-0.6","1.08",,,,1,3,"Top",,,,,,,6.2078038182414,-126.23563276263057,-7.0824446411531365,-18.721620776743105,26.834448877225224,-21.838873510471846,"3.11","1.57",,,,"86.8",1700,"6.4",779046,669224,502671,665862,665828,683011,691176,663757,641355,"54.05",,,,,,,,24,5,"Changeup",0,6,6,0,6,0,6,0,"Infield shade","Standard",224,"-0.001","0.104",,,,"-0.104",,-6,6,0.066,0.9339999999999999,34,29,35,30,2,1,,,,,"2.19","1.63","-1.63",,,,,,
"FF","2025-03-06","95","-1.84","5.99","Cole, Gerrit",681508,543037,,"ball",,,,,12,"Ball","S","L","R","NYY","MIN","B",,,1,2,2025,"-0.25","1.62","0.15","4.26",,,,1,3,"Top",,,,,,,5.74866162747139,-138.22111356576627,-2.459311844074778,-4.515970543501694,33.03405616172763,-11.096314275959042,"3.11","1.57",,,,"94.5",2383,"6.1",779046,669224,502671,665862,665828,683011,691176,663757,641355,"54.35",,,,,,,,24,4,"4-Seam Fastball",0,6,6,0,6,0,6,0,"Infield shade","Standard",203,"-0.001","0.048",,,,"-0.048",,-6,6,0.067,0.933,34,29,35,30,2,1,,,,,"0.92","0.25","-0.25",,,,,,
"SL","2025-03-06","87.2","-2.03","6.03","Cole, Gerrit",681508,543037,,"called_strike",,,,,13,"Called Strike","S","L","R","NYY","MIN","S",,,1,1,2025,"0.41","0.14","-0.4","1.38",,,,1,3,"Top",,,,,,,3.0731250550207396,-126.88068015587608,-5.2479419844130994,3.705781995488553,27.222723369372677,-29.760730576689824,"3.11","1.57",,,,"86.8",2423,"6.1",779046,669224,502671,665862,665828,683011,691176,663757,641355,"54.37",,,,,,,,24,3,"Slider",0,6,6,0,6,0,6,0,"Infield shade","Standard",158,"0.001","-0.064",,,,"0.064",,-6,6,0.066,0.9339999999999999,34,29,35,30,2,1,,,,,"2.87","-0.41","0.41",,,,,,
"FF","2025-03-06","95","-1.9","6.01","Cole, Gerrit",681508,543037,,"ball",,,,,11,"Ball","S","L","R","NYY","MIN","B",,,0,1,2025,"-0.51","1.54","-1.04","3.46",,,,1,3,"Top",,,,,,,3.4051273241139746,-138.24403225039606,-4.453327179546506,-7.253328107082394,32.432240437270956,-11.618481444781638,"3.11","1.57",,,,"94.7",2349,"6.2",779046,669224,502671,665862,665828,683011,691176,663757,641355,"54.27",,,,,,,,24,2,"4-Seam Fastball",0,6,6,0,6,0,6,0,"Infield shade","Standard",203,"0","0.029",,,,"-0.029",,-6,6,0.066,0.9339999999999999,34,29,35,30,2,1,,,,,"0.99","0.51","-0.51",,,,,,
