pitch,time,pitcher,batter,release_speed_mph,induced_vertical_break_in,horizontal_break_in,spin_rate_rpm,tilt,exit_speed_mph
161,108:34,"De Los Santos, Alexander","Borges, Oscar",88,4.80,6.00,2186,2:00,--
162,108:44,"De Los Santos, Alexander","Borges, Oscar",88,11.15,-1.65,2300,11:45,--
163,108:58,"De Los Santos, Alexander","Borges, Oscar",82,2.41,14.93,1276,2:45,--
164,109:11,"De Los Santos, Alexander","Borges, Oscar",83,8.46,8.61,1531,1:45,--
165,109:25,"De Los Santos, Alexander","Borges, Oscar",80,-1.68,-2.67,2133,7:15,--
166,109:56,"De Los Santos, Alexander","Borges, Oscar",87,7.32,2.64,2253,12:45,--
167,110:25,"De Los Santos, Alexander","Borges, Oscar",91,14.05,0.19,2302,12:00,--
168,110:39,"De Los Santos, Alexander","Borges, Oscar",88,10.47,1.64,2382,12:15,--
169,110:55,"De Los Santos, Alexander","Borges, Oscar",90,11.96,1.98,2341,12:15,--
170,111:14,"De Los Santos, Alexander","Borges, Oscar",91,15.17,-0.52,2386,12:00,--
171,111:38,"De Los Santos, Alexander","Borges, Oscar",91,12.86,1.27,2376,12:15,75
172,112:04,"De Los Santos, Alexander","Borges, Oscar",79,-2.38,-5.79,2273,7:45,--
173,112:44,"De Los Santos, Alexander","Borges, Oscar",80,-2.51,-4.63,2285,7:30,54
174,113:24,"De Los Santos, Alexander","Figueroa, Juan",91,9.70,3.26,2352,12:45,--
175,113:53,"De Los Santos, Alexander","Figueroa, Juan",90,11.93,0.60,2415,12:00,--
176,114:09,"De Los Santos, Alexander","Figueroa, Juan",91,11.01,4.36,2433,12:45,--
177,114:44,"De Los Santos, Alexander","Figueroa, Juan",79,-4.16,-3.57,2200,7:00,--
178,115:15,"De Los Santos, Alexander","Figueroa, Juan",90,10.12,1.24,2339,12:15,--
179,115:44,"De Los Santos, Alexander","Figueroa, Juan",89,8.31,0.49,2317,12:15,88
180,116:11,"De Los Santos, Alexander","Allen, Iverson",82,-3.41,-7.48,2166,8:00,--
181,116:50,"De Los Santos, Alexander","Allen, Iverson",80,-0.22,-5.85,2277,8:30,72
182,117:32,"De Los Santos, Alexander","Rodriguez, Freilyn",89,8.04,-0.09,2280,12:00,--
183,117:55,"De Los Santos, Alexander","Rodriguez, Freilyn",82,7.75,9.08,1720,1:45,--
184,119:12,"De Los Santos, Alexander","Rodriguez, Freilyn",89,11.46,8.28,2345,1:15,72
185,120:18,"De Los Santos, Alexander","Santos, Jhoendris",91,9.04,8.88,2085,1:30,--
186,120:47,"De Los Santos, Alexander","Santos, Jhoendris",80,0.96,-4.94,2250,8:45,--
187,121:32,"De Los Santos, Alexander","Santos, Jhoendris",92,16.16,5.45,2369,12:45,--
188,122:58,"De Los Santos, Alexander","Santos, Jhoendris",79,-2.21,-3.49,2063,7:15,--
189,123:23,"De Los Santos, Alexander","Santos, Jhoendris",82,-1.83,-4.53,1120,7:45,--
190,124:17,"De Los Santos, Alexander","Santos, Jhoendris",81,3.38,-4.22,2212,9:45,--
191,124:50,"Serrano, Ronaldo","Hernandez, Hector",80,17.38,9.18,2083,1:00,--
192,124:56,"Serrano, Ronaldo","Hernandez, Hector",83,15.42,3.93,2145,12:30,--
193,125:03,"Serrano, Ronaldo","Hernandez, Hector",86,17.30,8.74,2221,1:00,--
194,125:12,"Serrano, Ronaldo","Hernandez, Hector",79,-6.18,-3.62,2125,6:45,--
195,125:27,"Serrano, Ronaldo","Hernandez, Hector",79,-4.41,-5.56,2116,7:30,--
196,125:41,"Serrano, Ronaldo","Hernandez, Hector",77,-2.79,-14.57,2006,8:30,--
197,125:52,"Serrano, Ronaldo","Hernandez, Hector",88,17.26,4.77,2257,12:30,--
198,126:07,"Serrano, Ronaldo","Hernandez, Hector",87,18.51,4.68,2239,12:30,--
199,126:36,"Serrano, Ronaldo","Hernandez, Hector",87,15.62,2.73,2275,12:15,--
200,127:05,"Serrano, Ronaldo","Hernandez, Hector",84,7.71,12.91,1617,2:15,--
201,127:24,"Serrano, Ronaldo","Hernandez, Hector",83,12.99,10.60,1440,1:30,69
